codigo,nome,precovenda,preco1,preco2,preco3,precocusto,customedio,estoque,estminimo,unidade,marca,familia,grupo,subgrupo,ncm,gtin,inativo
2890003250018,FECH P/MOVEIS SOBREPOR ALIANCA,6,6,0,0,8.11,0,0,0,UN,,,,,85183000,2890003250018,N
2890003300010,CHAVE COMBINADA 14MM TRAMONTINA,24,24,0,0,532.5,0,0,0,UN,,,,,85183000,2890003300010,N
2890003340016,FECH STAM 824/03 ESP OXIDADO WC BANHEIRO,48,48,0,0,30.53,0,-1,0,UN,,,,,85183000,2890003340016,N
2890003350015,FECH STAM 603/03 INOX,60,60,0,0,23.94,0,0,0,UN,,,,,83014000,2890003350015,N
2890003390011,FECH STAM 803/23 RQ1 INOX,99,99,105,110,59.92,50.61,-2,0,UN,,,,,83014000,2890003390011,N
2890003420015,FECH P/MOVEIS STAM 302,14,14,0,0,7.86,0,0,0,UN,,,,,85183000,2890003420015,N
2890003440013,FERRO 3/8 10MM,65.5,65.5,62.9,62.9,40,0,-8,0,UN,,,,,73089010,2890003440013,N
2890003450012,FERRO 1/2 12.5MM,135,135,135,135,90,0,0,0,UN,,,,,73089010,2890003450012,N
2890003460011,FERRO 5/16 8.0MM,43,43,42,42,28,0,-57,0,UN,,,,,73089010,2890003460011,N
2890003480019,FERRO 4.2,17.5,17.5,17.5,17.5,0,0,0,0,UN,,,,,73089010,2890003480019,N
2890003550019,FERROLHO FIO REDONDO FG 21/2,8,8,8,8,4.2,0,-2,0,UN,,,,,85183000,2890003550019,N
2890003560018,FERROLHO FIO REDONDO FG 2,7.5,7.5,7.5,7.5,3.83,3.83,4,0,UN,,,,,85183000,2890003560018,N
2890003590015,FILTRO LINHA DICOMPEL C/3 TOMADAS,33,33,0,0,27.54,0,0,0,UN,,,,,85183000,2890003590015,N
2890003670014,FIO P/TELEFONE EXTERNO PRETO,0.6,0.6,0,0,0,0,0,0,UN,,,,,85183000,2890003670014,N
2890003680013,FIO P/TELEFONE CCI 2PAR,0.55,0.55,0,0,0.18,0,0,0,MT,,,,,85183000,2890003680013,N
2890003700018,FIO PARALELO 2X1.0MM2,3.5,3.5,3.5,3.2,1.61,1.97,30,0,MT,,,,,85444900,2890003700018,N
2890003720016,FIO PARALELO 2X2.5MM2,7.8,7.8,7.5,7.5,4.59,8.01,580,0,UN,,,,,85444900,2890003720016,N
2890003880017,FITA ISOLANTE 20M 3M,12.5,12.5,12,12,6.94,3.92,-5,4,UN,,,,,39191020,2890003880017,N
2890003930019,FLANGE 32MM,18.5,18.5,18,18,11.43,1.54,-6,6,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890003930019,N
2890003980014,FORMAO TRAMONTINA 3/4,31,31,30,29,16.01,16.01,0,0,UN,,,,,82053000,2890003980014,N
2890003990013,FORMAO MOMFORT 3/4,22,22,21,21,12.45,0,-1,0,UN,,,,,82053000,2890003990013,N
2890004060012,GANCHO REDE LIDER CHUMBAR GALVANIZADO,33,33,0,0,6.74,0,-1,0,UN,,,,,83024100,2890004060012,N
2890004070011,GANCHO REDE LIDER PARAFUSO GALVANIZADO,33,33,32,32,19.54,20.18,12,0,UN,,,,,83024100,2890004070011,N
2890004080010,GESSO,3,3,3,3,1.82,0,-498,10,KG,,,,,25202090,2890004080010,N
2890004100015,GONZO SETEIRA (ABERTO),5,5,0,0,0,0,0,0,UN,,,,,85183000,2890004100015,N
2890004120013,GRAMPO P/CERCA,25.9,25.9,25,25,14.42,9.95,11,0,UN,,,,,73170020,2890004120013,N
2890004150010,DESCARGA ASTRA ACOPL ENT HID HE300/N,48,48,0,0,28.16,0,0,0,UN,,,,,85183000,2890004150010,N
2890004170018,HASTE TERRA 1.20 M S/CONECTOR,21.9,21.9,21,20,9.32,9.82,2,0,UN,,,,,73262000,2890004170018,N
2890004370012,INT ILUMI SIST X,13.5,13.5,0,0,2.38,0,-2,0,UN,,,,,85183000,2890004370012,N
2890004380011,JAN MAC 74X1.20ARCO ALMOF/VIDRO,115,115,0,0,0,0,0,0,UN,,,,,85183000,2890004380011,N
2890004390010,JAN MAC 64X1.10ARCO,85,85,0,0,0,0,0,0,UN,,,,,85183000,2890004390010,N
2890004410015,JAN MAC 60X1.20ARCO,85,85,0,0,0,0,0,0,UN,,,,,85183000,2890004410015,N
2890004420014,BUCHA RED PVC 32X25MM,1.5,1.5,1.6,1.8,0.42,0.54,15,20,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890004420014,N
2890004430013,JAN MAC 84X1.20RETA ALM/VIDRO,235,235,0,0,125,0,0,0,UN,,,,,85183000,2890004430013,N
2890004440012,JAN MAC 1.2X1.2ARCO 4 FOLHAS FECHAD,195,195,0,0,149.69,0,0,0,UN,,,,,85183000,2890004440012,N
2890004450011,JAN MAC 74X1.20RETA ALMOF/VIDRO,145,145,0,0,98.58,0,0,0,UN,,,,,85183000,2890004450011,N
2890004460010,JAN MAC 1X1.20RETA TODA ALM,230,230,0,0,159,0,0,0,UN,,,,,85183000,2890004460010,N
